"created_at","tweet.text","state"
"Mon May 18 20:33:14 +0000 2020","And the growing opposition of several European capitals to the CCP behavior only weakens the appeal of an EU that a… https://t.co/Ffca9ATkrF","District of Columbia"
"Mon May 18 20:33:17 +0000 2020","Well, now his people will really start demanding that drug that has no real effects on COVID but causes heart probl… https://t.co/AYYdE5jsey","North Carolina"
"Mon May 18 20:33:17 +0000 2020","Good news","Massachusetts"
"Mon May 18 20:33:25 +0000 2020","@LukeJett @FullCountTommy @bagman928 People who don’t live down hear will never understand. Numbers are wrong. Lite… https://t.co/Tvavkb8poi","Illinois"
"Mon May 18 20:33:50 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Sol Amor by Blake Aaron, f… https://t.co/qArrOAQbWo","California"
"Mon May 18 20:33:52 +0000 2020","Where can you get a COVID-19 test in Charlotte? Here are 30+ local spots in Mecklenburg.  https://t.co/IVVznukw7E","North Carolina"
"Mon May 18 20:34:12 +0000 2020","Soft Booty 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid 19-… https://t.co/h8CDBKIHIW","Georgia"
"Mon May 18 20:34:13 +0000 2020","My heart is smiling.","California"
"Mon May 18 20:34:22 +0000 2020","@DREADD_HOMELESS And this is pre-covid! 🤦🏿‍♂️","Kentucky"
"Mon May 18 20:34:22 +0000 2020","CHOCOLATE BOOTY 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid… https://t.co/QHyJoKvTJX","Georgia"
"Mon May 18 20:34:25 +0000 2020","🍺 Texas bars can open with restrictions and restaurants can start seating at 50% capacity this Friday, May 22\n.\nWil… https://t.co/sZZFR84k0l","Texas"
"Mon May 18 20:34:31 +0000 2020","NYC officials worry as locals abandon social distancing to go to bars and beaches https://t.co/C20aVqU37t","New York"
"Mon May 18 20:34:33 +0000 2020","THIRSTY BOOTY 2020\n*Summer Shorts*\nWomen Shorts Available\nBuy 2 - Get 1 Free\n\nSizes - S- 4X\nPre Order Soon (Covid 1… https://t.co/mHevJLZQpE","Georgia"
"Mon May 18 20:34:46 +0000 2020","Literally me I-","Ohio"
"Mon May 18 20:34:48 +0000 2020","@mary_pezzulo @GovMikeDeWine This is as of today. Current trends on the Covid 19 dashboard https://t.co/62P7csjEY1","Ohio"
"Mon May 18 20:34:50 +0000 2020","I hate covid -19","Michigan"
"Mon May 18 20:34:53 +0000 2020","COVID can absolutely stick it.","Texas"
"Mon May 18 20:35:01 +0000 2020","Some of y’all never lost a loved one to COVID and it shows.","Washington"
"Mon May 18 20:35:17 +0000 2020","Off to work! 🙄😷","Arizona"
"Mon May 18 20:35:21 +0000 2020","@LukeJett @bagman928 People who don’t live down here will never understand. Numbers are not accurate with calling a… https://t.co/JusdmM3WqA","Illinois"
"Mon May 18 20:35:34 +0000 2020","Didn’t think 6th street could get dirtier but opening ahead of COVID, possible.","Texas"
"Mon May 18 20:35:38 +0000 2020","@JaneR46915034 @JeffreeStar People die everyday though regardless of this pandemic... There are more people dying f… https://t.co/eREgsQw3u8","Texas"
"Mon May 18 20:35:43 +0000 2020","@dougducey First, you shut down CV-19 research at UofAZ, and bc of backlash, research has restarted. Now, you follo… https://t.co/LFf3lk3FGu","Arizona"
"Mon May 18 20:35:47 +0000 2020","President Trump just announced he's taking hydroxychloroquine. Been taking it for the past week and half. But had no symptoms of COVID-19","New York"
"Mon May 18 20:35:48 +0000 2020","Heart problems including Cardiac arrest","Texas"
"Mon May 18 20:36:01 +0000 2020","J.B. Pritzker, Democrat Governor of Illinois owns a lab company that has been doing testing for covid since mid Mar… https://t.co/TnWcmwayL1","Illinois"
"Mon May 18 20:36:01 +0000 2020","Apparently Linda from Dealer Processing is an  #EssentialWorker. She’s called twice today.  #COVID","Texas"
"Mon May 18 20:36:03 +0000 2020","His supporters are going to take it thinking he's telling the truth. This is just irresponsible","Maryland"
"Mon May 18 20:36:26 +0000 2020","New cases in NYC only increased 665 over a 1 day period. That’s the lowest case growth to date. The pattern continu… https://t.co/U7YmtSj89d","New York"
"Mon May 18 20:36:41 +0000 2020","This is an incredible story by @KayleeHartung. And I love the message from @RobinRoberts: Make your mess your messa… https://t.co/daxsuXwGyO","Kansas"
"Mon May 18 20:36:51 +0000 2020","This is awful.","Tennessee"
"Mon May 18 20:36:51 +0000 2020","@BillBob_RFD Her rationale was the symptoms can mirror #COVID when seroconverting. Problem is, people would get car… https://t.co/jHlu7ppZwe","Illinois"
"Mon May 18 20:36:52 +0000 2020","@realDonaldTrump that's right douche, you keep taking a drug that the FDA has not proven to be acceptable in the tr… https://t.co/LL1wva8HBP","New York"
"Mon May 18 20:37:13 +0000 2020","Great read!","Ohio"
"Mon May 18 20:37:18 +0000 2020","@ruggles_dave Post COVID bar fights: https://t.co/AcnVIXqGZg","Illinois"
"Mon May 18 20:37:37 +0000 2020","Wake up America!","Florida"
"Mon May 18 20:37:44 +0000 2020","Start booking those flights!!1!\n\nNah just kidding, any vaccine is probably still a year away and will be in ridicul… https://t.co/wlizTHIPA2","New York"
"Mon May 18 20:37:51 +0000 2020","JUST IN: @realDonaldTrump just disclosed he’s been taking #Hydroxychloroquine for a few weeks against the White Hou… https://t.co/FX8m1Z4Eyj","Florida"
"Mon May 18 20:38:01 +0000 2020","Dr. Trump, because we made Dr. Oz a thing so why not?","North Carolina"
"Mon May 18 20:38:11 +0000 2020","@Fly_Norwegian Request for an update on cancellation and refund due to Corona virus &amp; travel advisories\nBooking ref… https://t.co/HARCcLWN7g","Florida"
"Mon May 18 20:38:14 +0000 2020","@TeamCavuto my father is in his 80’s who is morbidly obese, has been diagnosed with mersa pneumonia, sepsis and has… https://t.co/u1exDDAKWj","California"
"Mon May 18 20:38:19 +0000 2020","Considering our performance in the US he should have said nothing.","Maryland"
"Mon May 18 20:38:20 +0000 2020","Reminder: @US_FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital se… https://t.co/7LWIofA34F","Maryland"
"Mon May 18 20:38:21 +0000 2020","What impact will #COVID19 have on the future of transit and open space here in New York?\n\nAdvocates @BrownBikeGirl… https://t.co/6A4GemEzId","New York"
"Mon May 18 20:38:21 +0000 2020","@TeamCavuto Neil Cavuto the drug didn’t kill the people, Covid did !!!! Also it was given to people that were to fa… https://t.co/bMlOHl0jju","New Jersey"
"Mon May 18 20:38:21 +0000 2020","Republicans will stop at nothing to keep people from voting.","New York"
"Mon May 18 20:38:31 +0000 2020","Covid-19 regardless of what we had done when would have been devastating however what made it so so devastating was… https://t.co/EaP7eojt5P","South Carolina"
"Mon May 18 20:38:36 +0000 2020","Does this mean he has covid-19?","North Carolina"
"Mon May 18 20:38:42 +0000 2020","Separating direct Covid-19 death from deaths that Covid-19 caused an existing condition to worsen resulting in the… https://t.co/fJD6sW4vPu","Colorado"
"Mon May 18 20:38:43 +0000 2020","@justdey @thekjohnston It doesn’t work for covid why would it matter?","Missouri"
"Mon May 18 20:38:43 +0000 2020","So happy help workers and colleagues in the entertainment industry who lost their jobs or need some sort of assista… https://t.co/83gyGFWBwG","California"
"Mon May 18 20:38:48 +0000 2020","My hope is that everything we are doing in our state will work and I hope we will not see spikes. \n\nThe wearing of… https://t.co/gFjCyw19RR","Texas"
"Mon May 18 20:38:50 +0000 2020","I’m excited for this! Join us!","New York"
"Mon May 18 20:38:52 +0000 2020","Inspection day. Rain nor COVID will stop us! #westonhomes #sellingrealestate #browardrealestateagents… https://t.co/ylbax3GRzS","Florida"
"Mon May 18 20:39:02 +0000 2020",".@jaketapper Thanks for the #COVID updates.. however can you add in the many folks who recovered or the # of negati… https://t.co/qRDTeD09eI","Maryland"
"Mon May 18 20:39:05 +0000 2020","@JJon1983 @hind_leg @Bulldog2026 Yes, but understand that there is a vaccine and an antiviral Which without these t… https://t.co/Vck1pJJyl6","Mississippi"
"Mon May 18 20:39:12 +0000 2020","@AGEllison thank you for your support in the fact it is not safe to open restaurants and social distancing of 6 ft… https://t.co/7a5fMKXPnZ","Minnesota"
"Mon May 18 20:39:16 +0000 2020","@AscotCaper @MollyJongFast Yeah. Except it causes heart problems for all of the COVID users. He’s lying. https://t.co/ZBBGQGAXTT","Texas"
"Mon May 18 20:39:21 +0000 2020","#Dad reassures Daughter💞 worried about #COVID with #daily trash Dropoff with a Twist 😍 Both Dad and Daughter in Cos… https://t.co/RXFQjDZhcR",""
"Mon May 18 20:39:24 +0000 2020","I guess the u.s decided covid-19 is gone on its own😂","Florida"
"Mon May 18 20:39:39 +0000 2020","We gotta do what we gotta do. #WuTang #coronavirus #COVID https://t.co/1sTTNpknOV","Massachusetts"
"Mon May 18 20:39:41 +0000 2020","I don’t give a fuck about myself 🤷🏼‍♀️","California"
"Mon May 18 20:40:00 +0000 2020","Rockford Elementary holds graduation parade during COVID-19 https://t.co/SkTQyuN5eE via @dailytimes","Tennessee"
"Mon May 18 20:40:03 +0000 2020","“everyone’s worried about covid-19 .. but i’m worried liver failure” - Christian","Missouri"
"Mon May 18 20:40:14 +0000 2020","We can’t possibly be that lucky.  He is probably trying to pray the Covid away.","California"
"Mon May 18 20:40:20 +0000 2020","I just signed a @commoncause petition to the U.S. Senate: Don’t let COVID-19 upend our democracy! Sign here: https://t.co/ggVs5klxNI","California"
"Mon May 18 20:40:21 +0000 2020","Got lucky enough to get a great view of today’s B-52 flyover!  These beasts have always fascinated me...so this was… https://t.co/BdHwij3lR7","North Dakota"
"Mon May 18 20:40:24 +0000 2020",".@GovernorsOffice Great Job !","Pennsylvania"
"Mon May 18 20:40:25 +0000 2020","Yes. Whether the mainstream wants to discuss it or not... #facts","North Carolina"
"Mon May 18 20:40:28 +0000 2020","@liamjohnsonNY Could easily be arranged. (Post covid of course)","New York"
"Mon May 18 20:41:03 +0000 2020","Haitian President Dumarais Estimé started the Flag Day Celebration with parades, cultural and athletic events in ma… https://t.co/13ZSDlUB8X","Florida"
"Mon May 18 20:41:18 +0000 2020","Ya boy is covid free 🥳","Texas"
"Mon May 18 20:41:22 +0000 2020","and disapprove of their 'social credit system'. I hope none of you will download the Covid-19 app, but if you inten… https://t.co/77HdUGLlRK","Florida"
"Mon May 18 20:41:37 +0000 2020","Well this sucks #COVID19 #CoronavirusOutbreak #France #school #CoronavirusPandemic","New York"
"Mon May 18 20:41:39 +0000 2020","@weijia Guess #Covid isn’t a hoax.","North Carolina"
"Mon May 18 20:41:40 +0000 2020","#coronavirus #COVID #COVID19 #COVID__19 #China Disgusting","Texas"
"Mon May 18 20:41:44 +0000 2020","@MarianneMcFee2 @johnrobertsFox @realDonaldTrump Show me source that’s COVID-19 specific. And not 15 years old. 🙄\n\nSeriously??","Ohio"
"Mon May 18 20:41:48 +0000 2020","With my updated calculations; by Sunday, there would be at least 100,000 deaths from COVID in the United States. Ju… https://t.co/Ps1sMqGILA","New York"
"Mon May 18 20:41:55 +0000 2020","@PeterNavarro45 Trumputin told you to say- ""COVID-19 was planted by Aliens"".\n\nNow put your ""Trump N-95 fake mask"" b… https://t.co/2Va31b05JK","California"
"Mon May 18 20:41:56 +0000 2020","@TheMrJPistachio I survived covid let’s go Justin","Texas"
"Mon May 18 20:42:03 +0000 2020","@Djloosekid with that loud OHHHHHHHHHHHH at the end","Florida"
"Mon May 18 20:42:04 +0000 2020","After all this COVID stuff is finished I wanna go on a trip. Idk where but I’m going somewhere","Texas"
"Mon May 18 20:42:05 +0000 2020","President Trump Announces : “I am taking Hydroxychloroquine w/Zinc”. He goes on to say “I am NOT Infected w/CoronaV… https://t.co/IEfzR6h9qc","Florida"
"Mon May 18 20:42:07 +0000 2020","Butte County pastor who defied and held an in-person Mother’s Day service that exposed 180 to the #COVID19 has spok… https://t.co/WInHt5eCaK","South Carolina"
"Mon May 18 20:42:10 +0000 2020","Only thing i learned during covid-19 is that people do dumb shit with the money 💰","Maryland"
"Mon May 18 20:42:25 +0000 2020","President Trump Announces : “I am taking Hydroxychloroquine w/Zinc”. He goes on to say “I am NOT Infected w/CoronaV… https://t.co/U86l62Xedy","Florida"
"Mon May 18 20:42:26 +0000 2020","@realDonaldTrump Did you undergo a baseline ECG prior to implementing #Hydroxychloroquine ? Are you taking… https://t.co/o61NoKxIPm","Kentucky"
"Mon May 18 20:42:34 +0000 2020","Neil Cavoto is screaming that it is dangerous and not to listen to the President. He has a crooked Dr who says it w… https://t.co/z4hJASenXd","California"
"Mon May 18 20:42:36 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫The Scrapper by John Sneid… https://t.co/BCq6GCktRz","California"
"Mon May 18 20:42:40 +0000 2020","What could happen?","Illinois"
"Mon May 18 20:42:44 +0000 2020","I kinda miss the daily press conferences.","Ohio"
"Mon May 18 20:42:46 +0000 2020","@IPSY did COVID eat my bag? No problem charging me on 5/1 plus paying for add ons but here we 18 days later with lo… https://t.co/RkcZUPNRv5","South Dakota"
"Mon May 18 20:42:47 +0000 2020","Spoon-fed liberal orthodoxy! Can't think for themselves. Stupid is as stupid says...and you can't fix stupid!","Idaho"
"Mon May 18 20:42:52 +0000 2020","What medical condition is he taking it for? Has he tested positive or is just a recreational drug?","Nebraska"
"Mon May 18 20:42:53 +0000 2020","Providing a safe driving experience to every customer, so they can stay healthy from Covid and crashes.… https://t.co/JharWnPxLg","Florida"
"Mon May 18 20:43:04 +0000 2020","Um, does the president have COVID-19?","District of Columbia"
"Mon May 18 20:43:21 +0000 2020","@SpeakerPelosi What tha fuk are talking about, time is of the essence? You are not even in session.… https://t.co/3DyrHyTY19","Tennessee"
"Mon May 18 20:43:51 +0000 2020","MAGA Fan Peter Thiel Has Had It With Trump’s COVID Response https://t.co/FzMAdgKIC2 via @thedailybeast Hmm? Trump-o… https://t.co/RmzBU9MDgp","Nevada"
"Mon May 18 20:43:55 +0000 2020","WHAT!??????????????????????","Arizona"
"Mon May 18 20:43:55 +0000 2020","I have no words.","Washington"
"Mon May 18 20:44:04 +0000 2020","We had a great 4th quarter @UTChattanooga Institute of Teaching &amp; Learning @tynerupper @TA_FutureReady meeting. Hap… https://t.co/ctcnMCKxPp","Tennessee"
"Mon May 18 20:44:13 +0000 2020","@Courtney_Whaley No one Id rather catch Covid with ❤️","Texas"
"Mon May 18 20:44:15 +0000 2020","WHAT 🧐","California"
"Mon May 18 20:44:22 +0000 2020","So is he saying he tested positive for Covid-19?","Texas"
"Mon May 18 20:44:29 +0000 2020","This","California"
"Mon May 18 20:44:30 +0000 2020","As much as I long for an opportunity to use “defenstrate” in a sentence but this is madness.","Florida"
"Mon May 18 20:44:39 +0000 2020","‘My God is bigger than this virus’: Florida man said COVID-19 was a ‘fake crisis’  — but changed his tune after he… https://t.co/ozYl7j3Xgs","California"
"Mon May 18 20:44:39 +0000 2020","Infrastructure week is 🔥🔥🔥","Washington"
"Mon May 18 20:44:43 +0000 2020","The Rail","Maryland"
"Mon May 18 20:44:49 +0000 2020","Welp, we passed The Swamp a few days ago, and we're going to hit the Rose Bowl in a day or two in total covid-19 deaths.","California"
"Mon May 18 20:44:54 +0000 2020","@CBSNews Or he is Positive for COVID 19💕","North Carolina"
"Mon May 18 20:45:02 +0000 2020","@SteveFromPhilly @JaclynLeeTV @6abc @JoesSteaks I have to agree there’s several food places that are closed but the… https://t.co/XV7nzxlIOV","Pennsylvania"
"Mon May 18 20:45:15 +0000 2020","Finally. A movement I can get behind","Texas"
"Mon May 18 20:45:44 +0000 2020","🪑 IT TAKES A VILLAGE - Anacostia BID connecting small businesses and nonprofits to COVID-19 Recovery Resources  https://t.co/2dNvbRcVOx","District of Columbia"
"Mon May 18 20:45:54 +0000 2020","@TeamCavuto #John please correct your commi bastard traitor of America.  HE SPOKE AS IF A DOCTOR AND SHOULD BE ARRE… https://t.co/5lOXQH5qcG","Oklahoma"
"Mon May 18 20:45:56 +0000 2020","WHAT???? 😮","Florida"
"Mon May 18 20:45:56 +0000 2020","@TeamCavuto I believe a persons doctor would know best as they know their patients not you and it has to be prescri… https://t.co/ENgwRqxipQ","Kentucky"
"Mon May 18 20:46:03 +0000 2020","The Schuyler County Health Department received notification of two new positive cases COVID-19. https://t.co/ZO8VmaYm2a","New York"
"Mon May 18 20:46:06 +0000 2020","@DonSanchez215 @water4323 @realDonaldTrump @washingtonpost I looked online for covid testing.","Illinois"
"Mon May 18 20:46:06 +0000 2020","@lcarb4all @thiisweird @klawler9 @FatEmperor Yup.  How about you?  Show your data that demonstrates flu as bad as covid across age groups.","Indiana"
"Mon May 18 20:46:31 +0000 2020","Marriage Counselor: ""Why do you think your husband stopped talking to you?”\n.\n.\n.\n#marriage #couple… https://t.co/FmEIbyWPpk","New York"
"Mon May 18 20:46:33 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫When The Red, Red Robin Co… https://t.co/Bdw65DaAjR","California"
"Mon May 18 20:46:38 +0000 2020","Vitamin D: A Low-Hanging Fruit in COVID-19?\n\nhttps://t.co/C9mA1IF1CZ","Arizona"
"Mon May 18 20:46:48 +0000 2020","https://t.co/ODeXVGmEVe Autonomous Eyewear and Innovation an evolutionary solution to Pandemics and COVID-19. Incor… https://t.co/iFB9kS1aMF","California"
"Mon May 18 20:47:01 +0000 2020","Jesus, I really hope he is taking it. I think he's lying though.","Nebraska"
"Mon May 18 20:47:10 +0000 2020","@TeamCavuto FAKE NEWS NEIL.  People In the risk group didn’t die from hydroxychloroquine they died from Covid.","New Jersey"
"Mon May 18 20:47:11 +0000 2020","He and Daddy went to the same medical school.\nEric Trump Claims Social Distancing Is a Democrat 'Strategy' and COVI… https://t.co/aMgFV4eWGa","Oklahoma"
"Mon May 18 20:47:12 +0000 2020","I enjoyed this so much, I broke from a social media fast to retweet. Of all the difficulties with COVID-19, not wit… https://t.co/kMAzX0tFWt","Michigan"
"Mon May 18 20:47:14 +0000 2020","Great. President Pill-Popper is taking more unnecessary medications. Does he have Covid-19? Why take it if you don’… https://t.co/RihpvjgF90","Washington"
"Mon May 18 20:47:22 +0000 2020","@MacEngelProf @kaitlancollins Yeah, he gets reports from doctors and countries who treat covid with HCQ+Azithromyci… https://t.co/1Y9iJOXJBp","Texas"
"Mon May 18 20:47:23 +0000 2020","@ianbremmer Did Trump test positive for Covid? If not, why is he taking hydroxychloroquine?","New York"
"Mon May 18 20:47:23 +0000 2020","So President #Trump is taking #Plaquenil?  But hasn't revealed the cause as to why he's taking it...  😳","Florida"
"Mon May 18 20:47:37 +0000 2020","Rent office: Ms. Jones will you be in to pay rent soon?\n\nHer: I’m still not getting paid because of COVID!\n\nUPS Man… https://t.co/iYELex9E5h","South Carolina"
"Mon May 18 20:47:41 +0000 2020","COVID-19 is a small danger compared to global warming but by all means back to business as usual.","West Virginia"
"Mon May 18 20:47:44 +0000 2020","&amp; this is why I dislike The Marina https://t.co/kFdGZNyTWu","California"
"Mon May 18 20:47:52 +0000 2020","I finally know someone diagnosed with covid 😢😢😢. I’m out of the transmission window since we’ve not hung out since… https://t.co/EKM7ScDxym","Missouri"
"Mon May 18 20:47:58 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Have Blues, Will Travel by… https://t.co/eJElh5DYdx","California"
"Mon May 18 20:48:03 +0000 2020","Just....what? #thevillageidiot #TrumpIsALoser","Arizona"
"Mon May 18 20:48:04 +0000 2020","And he washes it down with bleach","Arizona"
"Mon May 18 20:48:28 +0000 2020","Dude claims to take a malaria drug, that doesn’t work, in order to prevent getting covid, but wont wear a mask?\n\nGe… https://t.co/Kw7fMbgYLv","Minnesota"
"Mon May 18 20:48:33 +0000 2020","@GovAbbott essentially said, “Stay home if you’re sick, come over if you’re thiccc” today 😥","Texas"
"Mon May 18 20:48:50 +0000 2020","“Said”  being the operative word - I really doubt his doctors would allow it - and it’s for late stage covid treatm… https://t.co/HXDA3pWxeD","District of Columbia"
"Mon May 18 20:48:53 +0000 2020","Reporting “deaths with covid” as opposed to “deaths from covid” is Arguably the biggest government fraud of our entire lives.","Minnesota"
"Mon May 18 20:48:53 +0000 2020","WTF @dougducey ???? I demand to know what is happening in my state!!!","Arizona"
"Mon May 18 20:49:01 +0000 2020","Trumpsters will be downing the stuff like Skittles now. The might want to check the latest research.… https://t.co/IQxazs3hkq","Tennessee"
"Mon May 18 20:49:06 +0000 2020","They BOTH are... it’s @FoxNews aka Faux News!","Georgia"
"Mon May 18 20:49:11 +0000 2020","COVID-19 Reflections: Local Mother, Son Beat The Odds To Reach His Graduation Milestone https://t.co/ekfgzuGGpz… https://t.co/vHV9ZS3Xqa","Georgia"
"Mon May 18 20:49:47 +0000 2020","I see dead knuckleheads","New Jersey"
"Mon May 18 20:49:51 +0000 2020","And the real number is even better!","North Carolina"
"Mon May 18 20:50:15 +0000 2020","@DavidLeeKoenig @Justin_Stangel @EricStangel Make that Covid Red haha","North Carolina"
"Mon May 18 20:50:17 +0000 2020","@stewiewithatuba @JeffreyGuterman @WhiteHouse @realDonaldTrump Hello I am 69 overweight and working in a essential… https://t.co/2nORMJPc0B","Texas"
"Mon May 18 20:50:17 +0000 2020","@sanosbo1 Don’t get me wrong. It’s silly. But I rather see this than people huddled together. My fear is in 5 month… https://t.co/WXeroea8d4","Michigan"
"Mon May 18 20:50:18 +0000 2020","Can't time this better..\n https://t.co/4JcwqLl1Z9","Colorado"
"Mon May 18 20:50:31 +0000 2020","Now that's what I Call COVID-19","Oklahoma"
"Mon May 18 20:50:32 +0000 2020","@CMastication The SCRAM case is public upset over carnage sufficient to worry politicians they won’t be re-elected.… https://t.co/uBD6MsDU3L","California"
"Mon May 18 20:50:41 +0000 2020","Breaking news from Houston CEO @SylvesterTurner... 1 new person has died from Covid 19... Male, in his 80’s with un… https://t.co/mDvJuJNMXi","Texas"
"Mon May 18 20:50:47 +0000 2020","#WHO and the Entire World should be working together in this #COVID19 as we have in past epidemics","North Carolina"
"Mon May 18 20:50:48 +0000 2020","And Jim Jones drank the Kool-Aid 😉","Florida"
"Mon May 18 20:50:52 +0000 2020","@DeanLuk @TeamCavuto @realDonaldTrump @FoxNews You are a likable TV commentator, not a doctor. Please stop scaring… https://t.co/Hih8t1lSj8","Nevada"
"Mon May 18 20:51:16 +0000 2020","I’m sorry... huh?","Iowa"
"Mon May 18 20:51:25 +0000 2020","#ChinaLiedAndPeopleDied\nNavarro: China Sent ‘Hundreds of Thousands’ On Planes To ‘Seed’ COVID, When ‘They could’ve… https://t.co/Pv45D6IcXU","Michigan"
"Mon May 18 20:51:34 +0000 2020","Tomorrow, May 19 at 1pm. SEL Support for self and staff during COVID-19, will be facilitated by retired Jeffco prin… https://t.co/XvAwIlA2n8","Colorado"
"Mon May 18 20:51:35 +0000 2020","When on the phone with my family and the ask me “why are you coughing are you okay ?” 🤣💚","Florida"
"Mon May 18 20:51:39 +0000 2020","@inezrussell Holy crap, this COVID-19 pandemic really is a litmus test for racists and idiots.","New Mexico"
"Mon May 18 20:51:45 +0000 2020","My dads test for covid came back negative. I’m so relieved 😭","Oregon"
"Mon May 18 20:51:50 +0000 2020","@BradMossEsq @SpiroAgnewGhost No way. He is lying again.  If he is price it and take it in front of the nation. Jus… https://t.co/Wk0tzP78sR","Rhode Island"
"Mon May 18 20:51:53 +0000 2020","Unless President #Trump is taking #Plaquenil for #malaria or #RA #Arthritis...  But to prevent #CoronaVirus outbrea… https://t.co/ImGEuT6CqU","Florida"
"Mon May 18 20:52:07 +0000 2020","@TheBradSherwood I'm so relieved! I'm happy to hear they aren't chemtrails! They flew right over me! So does that m… https://t.co/DxVU91FM83","California"
"Mon May 18 20:52:13 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Hey Hey Bobby Rush by Bobb… https://t.co/BaV4cywyvV","California"
"Mon May 18 20:52:14 +0000 2020","@Sharondawriter That’s what the doctors around the world have been doing to protect them from getting COVID 19 but… https://t.co/6pmX4A1ZIL","New Jersey"
"Mon May 18 20:52:16 +0000 2020","He’s lying","Michigan"
"Mon May 18 20:52:18 +0000 2020","That certainly explains the US’s dismal response.","Colorado"
"Mon May 18 20:52:25 +0000 2020","@cher Covid-19? 😀🦠","New York"
"Mon May 18 20:52:32 +0000 2020","COVID has been rough on me 😂😘 letting my hair glow out... #notoupee  ladies‼️#loveyaself @ Philadelphia, Pennsylvan… https://t.co/ES8AJ8kaBq","Pennsylvania"
"Mon May 18 20:52:36 +0000 2020","Has Covid-19 forced you to reconsider your love of prostitution","Nevada"
"Mon May 18 20:52:47 +0000 2020","Is this possibly the largest self-own ever?","California"
"Mon May 18 20:52:47 +0000 2020","Wao! Christ Embassy’s Loveworld Limited broadcasting channel just got sanctioned by the U.K. communication regulato… https://t.co/RPpd73CF2f","Connecticut"
"Mon May 18 20:52:49 +0000 2020","As you might imagine, COVID-19 has forced us to make some changes around City Hall.  The first, obviously, was to h… https://t.co/mcuevp8h20",""
"Mon May 18 20:52:50 +0000 2020","Trump says he's taking hydroxychloroquine to prevent COVID-19 despite FDA warning https://t.co/u2AmyX0GXn via @nbcnews","Florida"
"Mon May 18 20:53:03 +0000 2020","And just like that, he changed the headlines  🐿","Montana"
"Mon May 18 20:53:07 +0000 2020","This is for your pleasure 🎻🎸🎺🎷🥁🎤. be and stay blessed. Be safe in times of COVID-19.  – ♫Stop, Look, Listen (To You… https://t.co/bDkPcLWlZc","California"
"Mon May 18 20:53:07 +0000 2020","These people are really out here playing with out lives for a couple of bucks. SMH. Listen to the scientists.","California"
"Mon May 18 20:53:12 +0000 2020","Because of the corona virus?","Mississippi"
"Mon May 18 20:53:17 +0000 2020","Trump said he taking the COVID drug, and aint got COVID. The hell is going on? 🤦🏽‍♂️","California"
"Mon May 18 20:53:22 +0000 2020","He's rigging this sh*t in his favor, to give him time to dispose of the evidence and come up with a convenient stor… https://t.co/wri21gQyDV","California"
"Mon May 18 20:53:28 +0000 2020","Wanna know how I know HCQ works? 👇","Arizona"
"Mon May 18 20:53:28 +0000 2020","President Trump says has been taking hydroxychloroquine; says he consulted with White House physician.\n\nIn April, F… https://t.co/tkP1aAx8O0","New York"
"Mon May 18 20:53:35 +0000 2020","Dude gonna mess around and mess up his liver","North Carolina"
"Mon May 18 20:53:35 +0000 2020","Thank you!!","Hawaii"
"Mon May 18 20:53:36 +0000 2020","@GolferGuy62 @YouTube Oh, you mean generic manufacturers dont make money?  Covid will be around long enough for the… https://t.co/hXeKaXU4d9","New Mexico"
"Mon May 18 20:53:42 +0000 2020","Great...a test subject!","Delaware"
"Mon May 18 20:53:42 +0000 2020","Why is he SUPPOSEDLY taking this drug if he is not infected? \nhttps://t.co/0TU0Rda4fz","Massachusetts"
"Mon May 18 20:53:46 +0000 2020","My son @seeTHEBADMAN /#PatrickDavis just on radio w/@LoriJulia. My 89 yr old mom who has no internet called to ask… https://t.co/I76o16nSAp","Minnesota"
"Mon May 18 20:53:56 +0000 2020","Energy","Tennessee"
"Mon May 18 20:54:00 +0000 2020","What she said.","Indiana"
"Mon May 18 20:54:17 +0000 2020","Yep. Sounds about right.\nHe's got a lot of product to move.","Florida"
"Mon May 18 20:54:20 +0000 2020","@yesgregyes @realDonaldTrump not masochist at all\n\nvery fair and kind🙌🙏\n\ni don’t wish ill on him, i’m frankly amaze… https://t.co/O4SGDk0ekn","New York"
"Mon May 18 20:54:30 +0000 2020","Imagine announcing to the world you’re abusing a prescription drug","Wisconsin"
"Mon May 18 20:54:34 +0000 2020","@WhiteHouse @Mike_Pence Probably also sharing Covid 19 with the group.","New Jersey"
"Mon May 18 20:54:43 +0000 2020","He needs to take more, lots and lots more.","Oregon"
